epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60441,1.82326,7.52834,1.59463,0.51172,0.15625,0.16665,0.09046,1.97674,6.53919,1.58685,0.0004,0.0004,0.0004
2,8.51428,1.70352,2.89435,1.31114,0.06117,0.42188,0.04602,0.01897,1.9699,12.3376,1.68039,0.00077941,0.00077941,0.00077941
3,11.2053,1.77419,2.12867,1.46349,0.30619,0.28125,0.1584,0.05502,2.10496,5.81549,1.85846,0.00111724,0.00111724,0.00111724
4,14.0584,1.78398,1.82624,1.4819,0.17019,0.17188,0.10249,0.04084,2.79609,4.15612,2.26073,0.00141349,0.00141349,0.00141349
5,16.8181,1.73633,1.6888,1.45636,0.00525,0.375,0.00309,0.00129,2.33091,56.1035,2.59781,0.001604,0.001604,0.001604
6,19.5802,1.74024,1.5943,1.51664,0.04069,0.375,0.0268,0.01102,2.12544,15.6804,1.87816,0.001505,0.001505,0.001505
7,22.4333,1.68889,1.41065,1.40392,0.04372,0.67188,0.03779,0.01582,1.80866,18.7155,1.54847,0.001406,0.001406,0.001406
8,24.984,1.69115,1.4135,1.41847,0.48713,0.625,0.42976,0.20993,1.73906,4.29837,1.49832,0.001307,0.001307,0.001307
9,27.7546,1.68665,1.31037,1.41378,0.55622,0.4375,0.36903,0.17791,1.86233,2.86312,1.61911,0.001208,0.001208,0.001208
10,30.375,1.57735,1.31,1.39007,0.3766,0.54748,0.36586,0.16537,1.74889,2.16136,1.5858,0.001109,0.001109,0.001109
11,35.0348,1.55205,1.25954,1.40677,0.47468,0.45312,0.45134,0.2274,1.66049,1.94068,1.42064,0.00101,0.00101,0.00101
12,37.6568,1.54475,1.19279,1.37823,0.85398,0.63967,0.73732,0.37446,1.62532,1.33516,1.42376,0.000911,0.000911,0.000911
13,40.1824,1.57855,1.14502,1.40454,0.74868,0.60938,0.69868,0.32114,1.77389,1.38634,1.51964,0.000812,0.000812,0.000812
14,42.6685,1.55712,1.05824,1.35695,0.74249,0.63079,0.74032,0.40323,1.67797,1.19455,1.39668,0.000713,0.000713,0.000713
15,45.19,1.48216,1.03619,1.35632,0.78505,0.6875,0.75523,0.40978,1.53022,1.31026,1.32664,0.000614,0.000614,0.000614
16,47.7902,1.5384,1.02794,1.35475,0.77683,0.65625,0.76387,0.43216,1.53265,1.18035,1.34261,0.000515,0.000515,0.000515
17,50.4251,1.42632,0.99332,1.33414,0.87098,0.65625,0.79579,0.45593,1.52204,1.05752,1.33189,0.000416,0.000416,0.000416
18,52.9888,1.41251,0.93423,1.31141,0.83326,0.70312,0.81184,0.44415,1.52386,1.02389,1.3331,0.000317,0.000317,0.000317
19,55.5022,1.41999,0.85873,1.3031,0.83553,0.71446,0.81675,0.45538,1.50145,1.03443,1.31612,0.000218,0.000218,0.000218
20,58.0663,1.36188,0.90138,1.26015,0.83274,0.75,0.80998,0.46629,1.4801,1.02868,1.31536,0.000119,0.000119,0.000119
